state,account_length,area_code,number_vmail_messages,customer_service_calls,churn,international_plan_total,voice_mail_plan_total,total_calls,total_charges,total_minutes
DE,122,510,0,4,1,1.0,1.0,320,53.599999999999994,547.7
RI,133,510,0,1,0,1.0,1.0,280,51.86,523.9
TX,145,415,0,2,0,1.0,1.0,339,57.50999999999999,556.6999999999999
OR,25,408,0,2,0,1.0,1.0,266,53.81,531.4
NV,64,415,0,2,0,1.0,1.0,268,43.660000000000004,482.79999999999995
NE,85,415,0,0,0,1.0,1.0,275,73.83,676.3000000000001
MS,126,415,0,3,0,1.0,1.0,329,70.93,651.3
OR,76,415,0,0,0,1.0,1.0,259,51.93,522.9
DE,113,415,0,2,1,1.0,1.0,248,77.88,769.6999999999999
DE,224,510,0,1,1,1.0,1.0,306,53.67,548.9
AZ,117,408,0,0,0,1.0,1.0,285,67.72,634.0
SD,128,408,34,1,0,1.0,1.0,239,55.839999999999996,592.4000000000001
NV,115,415,0,2,0,1.0,1.0,283,70.69,731.1
NM,141,415,28,2,0,1.0,1.0,387,67.88000000000001,652.3999999999999
MN,51,510,0,1,0,1.0,1.0,321,66.75999999999999,528.5999999999999
NJ,100,415,0,0,0,1.0,1.0,284,70.96999999999998,696.7
IN,96,415,45,3,0,1.0,1.0,305,68.87,663.0
DC,112,415,16,1,0,1.0,1.0,344,60.79,563.0999999999999
MA,129,510,0,1,0,1.0,1.0,366,60.730000000000004,594.4999999999999
ME,163,415,0,1,0,1.0,1.0,341,41.940000000000005,428.5
NH,67,415,40,1,0,1.0,1.0,295,48.59,548.2
AZ,140,408,0,3,0,1.0,1.0,330,58.61000000000001,590.5
OR,49,510,0,2,0,1.0,1.0,321,56.53,619.5
KS,46,510,0,2,1,1.0,1.0,296,77.07,719.2
NE,148,415,0,1,0,1.0,1.0,310,65.56,653.3000000000001
MI,112,510,0,1,0,1.0,1.0,270,71.97999999999999,697.5
SC,78,415,0,2,0,1.0,1.0,337,51.44,497.7
PA,61,408,31,0,0,1.0,1.0,255,77.86,704.3000000000001
MT,58,510,29,1,0,1.0,1.0,282,61.39,534.7
NM,155,415,0,1,0,1.0,1.0,356,69.78,714.2
OH,100,510,0,0,1,1.0,1.0,280,74.39999999999999,682.5
WY,113,510,0,1,0,1.0,1.0,325,66.62,688.5
MI,81,415,0,2,0,1.0,1.0,289,53.53000000000001,555.9
AR,135,510,27,1,0,1.0,1.0,358,73.94999999999999,685.5
FL,99,408,0,0,0,1.0,1.0,259,58.89,579.1
AR,59,510,29,1,0,1.0,1.0,302,49.190000000000005,492.7
MO,135,510,0,1,0,1.0,1.0,364,68.27000000000001,601.7
WI,85,408,0,2,0,1.0,1.0,350,63.08,720.1999999999999
TX,70,510,0,0,0,1.0,1.0,301,44.349999999999994,536.1
TX,88,510,0,3,0,1.0,1.0,368,54.22,563.0
NM,55,510,0,2,0,1.0,1.0,348,70.7,620.9
GA,75,415,0,1,0,1.0,1.0,260,45.18,438.49999999999994
ID,79,510,21,4,0,1.0,1.0,292,71.67,646.8
AL,85,408,0,0,0,1.0,1.0,312,57.27,613.8
KS,86,408,23,0,0,1.0,1.0,295,72.99000000000001,727.3
SD,91,510,0,0,0,1.0,1.0,317,60.12,662.5999999999999
LA,149,415,20,1,0,1.0,1.0,250,69.54,677.8999999999999
OH,97,408,0,1,1,1.0,1.0,327,79.89,764.1
MA,88,415,0,1,1,1.0,1.0,353,77.1,685.5
AZ,60,415,0,2,0,1.0,1.0,228,44.6,511.59999999999997
KY,54,408,0,2,0,1.0,1.0,240,57.44,549.2
DC,11,415,28,3,0,1.0,1.0,291,60.839999999999996,597.0
WA,109,415,0,0,0,1.0,1.0,328,51.400000000000006,469.09999999999997
UT,90,415,0,1,0,1.0,1.0,328,72.0,628.6
RI,115,408,0,3,0,1.0,1.0,325,60.629999999999995,685.6
OH,144,415,18,1,0,1.0,1.0,338,39.39,433.0
NV,91,408,0,0,0,1.0,1.0,253,53.54,615.4
ND,105,415,23,0,0,1.0,1.0,291,66.17999999999999,694.5999999999999
NV,71,415,0,3,1,1.0,1.0,321,56.41,541.7
FL,132,510,36,3,1,1.0,1.0,335,68.38000000000001,677.0999999999999
MD,112,415,0,1,0,1.0,1.0,278,60.739999999999995,640.5000000000001
AZ,86,415,32,3,0,1.0,1.0,394,40.239999999999995,493.6
AL,41,510,34,2,0,1.0,1.0,297,66.57,626.7
NE,44,415,0,1,0,1.0,1.0,337,68.53,656.1999999999999
NV,78,408,0,3,0,1.0,1.0,292,44.38,509.2
IL,149,408,0,1,0,1.0,1.0,273,33.22,393.40000000000003
WV,72,510,33,4,1,1.0,1.0,278,52.25000000000001,581.5
MI,139,415,20,0,0,1.0,1.0,377,67.78999999999999,627.3
AR,74,510,0,3,0,1.0,1.0,242,53.38,594.1
UT,50,510,0,1,0,1.0,1.0,327,70.89,656.3000000000001
GA,141,510,23,3,0,1.0,1.0,347,51.22,540.1
AZ,140,408,0,1,0,1.0,1.0,358,54.88999999999999,617.0000000000001
ID,99,408,0,2,0,1.0,1.0,305,61.05,631.2
HI,166,408,0,1,0,1.0,1.0,262,60.589999999999996,559.1
NV,124,408,0,1,0,1.0,1.0,323,54.540000000000006,599.1999999999999
MD,74,415,0,0,0,1.0,1.0,280,54.99999999999999,594.9
GA,117,510,0,2,0,1.0,1.0,310,60.41,632.0
GA,85,510,0,3,0,1.0,1.0,310,70.5,688.3
UT,36,415,16,0,0,1.0,1.0,313,44.379999999999995,420.6
MA,102,510,0,0,0,1.0,1.0,343,68.66,615.0999999999999
IN,76,415,0,0,0,1.0,1.0,346,73.41,751.6
VT,165,510,0,1,0,1.0,1.0,317,69.39999999999999,681.1
IA,130,415,0,1,0,1.0,1.0,298,56.86,579.5
IN,78,415,0,0,0,1.0,1.0,378,73.02999999999999,754.3
AL,55,415,0,1,1,1.0,1.0,308,67.42,666.0
ME,92,415,0,2,1,1.0,1.0,335,57.9,644.9
RI,129,415,33,2,0,1.0,1.0,369,57.46,667.5999999999999
MD,18,408,0,1,0,1.0,1.0,333,69.74,647.0000000000001
FL,161,415,0,2,0,1.0,1.0,301,52.949999999999996,527.1
CA,93,415,36,2,0,1.0,1.0,322,53.43000000000001,492.09999999999997
AL,144,415,0,2,0,1.0,1.0,289,65.94,657.3
ME,75,408,0,4,1,1.0,1.0,247,55.440000000000005,502.49999999999994
WV,95,415,0,1,0,1.0,1.0,297,55.989999999999995,502.90000000000003
SD,126,415,23,3,0,1.0,1.0,323,49.83,557.6
FL,124,415,28,1,0,1.0,1.0,319,75.24000000000001,735.9
MI,93,415,0,1,1,1.0,1.0,296,69.21000000000001,663.5
MI,109,415,26,0,0,1.0,1.0,328,64.43,652.6999999999999
NM,80,510,0,0,0,1.0,1.0,289,63.45,637.2
AK,41,415,0,1,0,1.0,1.0,222,52.57,558.2
OH,136,415,31,2,0,1.0,1.0,278,57.769999999999996,618.9
MO,92,415,0,3,1,1.0,1.0,329,68.68,777.4
KS,143,408,24,1,0,1.0,1.0,328,64.29,655.1
MS,118,415,26,5,1,1.0,1.0,342,56.230000000000004,549.6
VT,193,408,17,1,0,1.0,1.0,315,50.88,544.3
NE,73,415,0,3,0,1.0,1.0,290,68.03,638.5999999999999
VA,62,408,0,2,0,1.0,1.0,296,60.089999999999996,627.5000000000001
DE,30,415,30,0,0,1.0,1.0,267,67.13000000000001,665.0000000000001
AL,60,408,29,0,1,1.0,1.0,301,72.18,603.8
ID,148,510,14,1,0,1.0,1.0,298,43.629999999999995,449.79999999999995
MS,96,510,0,2,0,1.0,1.0,309,53.059999999999995,595.5
OK,52,408,0,2,0,1.0,1.0,324,58.07,506.0999999999999
NM,87,415,0,1,0,1.0,1.0,294,58.8,575.3
WI,41,408,0,3,0,1.0,1.0,296,55.1,479.20000000000005
WV,112,415,0,1,0,1.0,1.0,302,66.59,558.4
SC,88,510,0,4,1,1.0,1.0,247,39.17,482.49999999999994
KY,122,408,27,7,0,1.0,1.0,321,73.66000000000001,682.6
MO,61,408,0,2,0,1.0,1.0,282,30.039999999999996,359.00000000000006
IL,87,510,0,1,0,1.0,1.0,355,60.46999999999999,483.7
OK,176,408,0,2,0,1.0,1.0,330,32.5,388.8
MI,30,510,0,0,0,1.0,1.0,325,66.17999999999999,614.0999999999999
NJ,95,415,22,0,0,1.0,1.0,314,33.39,450.4
ID,46,415,0,2,0,1.0,1.0,352,45.879999999999995,490.00000000000006
DC,100,510,0,0,0,1.0,1.0,333,52.800000000000004,622.9
NY,47,415,37,2,0,1.0,1.0,270,57.61,606.4
AL,77,415,0,2,0,1.0,1.0,270,58.64,622.2
OR,98,415,38,2,0,1.0,1.0,243,70.08,685.1
OK,125,415,36,1,0,1.0,1.0,302,44.93,374.59999999999997
LA,67,510,0,4,0,1.0,1.0,329,71.99000000000001,632.6
NE,194,408,0,1,0,1.0,1.0,327,46.86,566.2
TX,128,415,40,1,0,1.0,1.0,296,54.120000000000005,527.7
UT,190,415,22,0,0,1.0,1.0,290,51.60999999999999,479.0
OR,165,415,0,0,0,1.0,1.0,361,66.5,644.4999999999999
NY,59,408,0,2,0,1.0,1.0,333,49.199999999999996,551.8
AL,47,408,28,1,0,1.0,1.0,288,45.519999999999996,430.6
RI,150,415,29,0,0,1.0,1.0,243,57.28,516.4
MN,152,415,20,9,1,1.0,1.0,297,77.67999999999999,770.3
NC,26,415,0,3,0,1.0,1.0,338,67.84,646.1
MD,79,510,31,3,0,1.0,1.0,325,44.919999999999995,434.7
RI,95,510,27,1,0,1.0,1.0,314,58.45,658.3
WI,69,510,0,2,1,1.0,1.0,309,78.67,707.9
VT,95,510,41,5,1,1.0,1.0,228,49.129999999999995,481.6
CT,31,415,31,0,0,1.0,1.0,285,51.03,607.3
OK,121,408,31,4,0,1.0,1.0,270,69.37,649.5
AK,111,415,0,4,1,1.0,1.0,273,54.22,522.6
NY,157,415,0,2,0,1.0,1.0,330,63.59,553.3
GA,44,510,0,3,1,1.0,1.0,298,82.32,748.7
UT,61,510,0,2,0,1.0,1.0,358,37.529999999999994,392.20000000000005
NM,65,415,0,2,0,1.0,1.0,287,57.46,569.9000000000001
NE,74,415,25,2,0,1.0,1.0,264,54.709999999999994,503.1
NJ,123,408,0,0,0,1.0,1.0,293,66.39,702.2
TX,58,408,20,1,0,1.0,1.0,293,64.45,654.3
MT,74,408,0,2,1,1.0,1.0,318,64.77,691.0999999999999
CO,125,415,0,2,0,1.0,1.0,322,49.98,584.4000000000001
VT,80,415,0,1,0,1.0,1.0,301,61.370000000000005,653.4000000000001
RI,53,408,18,0,0,1.0,1.0,328,61.29,642.7
WY,99,408,28,1,0,1.0,1.0,311,66.80999999999999,646.6999999999999
ID,99,415,0,1,0,1.0,1.0,300,46.44,485.59999999999997
CT,66,415,29,2,0,1.0,1.0,308,73.46,726.3
ME,97,510,0,3,0,1.0,1.0,282,58.75,527.7
AZ,75,510,37,2,0,1.0,1.0,309,57.97,652.8999999999999
MD,85,510,0,2,0,1.0,1.0,295,60.309999999999995,554.9
IN,108,510,0,2,0,1.0,1.0,282,72.64,607.5
NC,133,408,32,2,1,1.0,1.0,348,71.86999999999999,670.3
DE,51,510,0,1,0,1.0,1.0,316,58.8,575.8999999999999
MN,186,415,26,2,0,1.0,1.0,316,44.95,562.4000000000001
WI,44,415,0,1,0,1.0,1.0,285,43.13,486.8
FL,64,408,31,3,0,1.0,1.0,322,69.93,653.2
WV,44,510,0,2,1,1.0,1.0,282,77.54,794.3000000000001
SD,114,415,36,1,0,1.0,1.0,286,81.80000000000001,707.9000000000001
FL,92,415,0,3,0,1.0,1.0,279,67.09,659.9000000000001
OR,110,408,0,2,0,1.0,1.0,328,50.22999999999999,481.5
CO,90,408,30,1,0,1.0,1.0,298,59.33,565.3000000000001
CT,72,408,21,1,0,1.0,1.0,317,73.1,725.4000000000001
IN,113,415,0,1,1,1.0,1.0,382,78.19,810.1
PA,171,415,25,3,0,1.0,1.0,288,63.05,567.4000000000001
NM,104,415,0,1,0,1.0,1.0,324,51.61000000000001,499.2
ME,165,408,0,1,0,1.0,1.0,263,58.8,665.5
SD,104,510,0,0,1,1.0,1.0,305,75.65,720.9999999999999
AR,110,408,0,1,0,1.0,1.0,339,35.18,430.9
TX,90,408,0,1,0,1.0,1.0,389,67.01,649.8000000000001
NH,114,415,0,1,0,1.0,1.0,303,43.91,415.2
OK,101,408,0,5,1,1.0,1.0,301,48.66,533.4
WI,117,408,14,1,0,1.0,1.0,288,40.089999999999996,430.4
AL,109,408,0,2,0,1.0,1.0,306,72.89,688.6999999999999
PA,82,408,0,1,0,1.0,1.0,338,50.739999999999995,529.3
OK,92,510,0,2,0,1.0,1.0,318,49.81999999999999,486.50000000000006
ME,82,510,29,2,0,1.0,1.0,345,67.00999999999999,640.0999999999999
WV,90,415,0,2,0,1.0,1.0,331,64.25,649.8
HI,87,408,28,1,0,1.0,1.0,301,49.94,553.9
MN,124,510,0,3,0,1.0,1.0,251,49.18000000000001,491.20000000000005
NY,39,408,0,2,0,1.0,1.0,282,49.04,507.40000000000003
AZ,84,415,0,1,0,1.0,1.0,314,52.16,506.8
OH,75,510,46,0,0,1.0,1.0,305,67.07000000000001,671.0
MI,102,510,0,2,0,1.0,1.0,310,48.480000000000004,528.2
MA,62,415,0,0,1,1.0,1.0,273,53.16,492.69999999999993
WV,143,510,0,1,0,1.0,1.0,288,56.29,517.1
MI,53,415,0,3,0,1.0,1.0,360,46.470000000000006,578.9
NM,30,415,0,1,0,1.0,1.0,362,58.739999999999995,576.1999999999999
MO,112,415,0,2,1,1.0,1.0,326,90.46000000000001,825.7
RI,129,415,0,0,0,1.0,1.0,329,57.67,571.3000000000001
NC,63,415,29,1,0,1.0,1.0,262,46.86,507.70000000000005
WY,28,415,0,0,0,1.0,1.0,309,65.32000000000001,655.8000000000001
WY,111,415,0,3,0,1.0,1.0,257,56.77,579.6
PA,91,510,0,3,0,1.0,1.0,362,67.44999999999999,663.1999999999999
KY,90,415,0,1,0,1.0,1.0,225,62.93,659.6
OR,151,510,0,4,0,1.0,1.0,373,57.32,593.2
NV,105,415,29,1,1,1.0,1.0,298,68.15,642.1
DC,41,408,37,2,0,1.0,1.0,326,70.11,658.1
UT,48,510,43,1,0,1.0,1.0,276,58.91,613.3
WA,166,408,35,2,0,1.0,1.0,388,60.949999999999996,710.3999999999999
FL,79,510,0,3,0,1.0,1.0,386,59.41,629.9
VA,153,510,0,1,0,1.0,1.0,306,55.92,504.40000000000003
KS,110,415,0,0,1,1.0,1.0,264,81.81,763.2
KS,163,415,0,1,0,1.0,1.0,301,64.53999999999999,666.4
DC,126,510,0,1,0,1.0,1.0,308,43.21,434.70000000000005
ME,105,408,33,2,0,1.0,1.0,342,56.42,488.1
LA,172,415,0,3,0,1.0,1.0,308,62.94,633.7
DC,126,415,0,0,0,1.0,1.0,315,58.78,636.3000000000001
TX,97,510,0,3,0,1.0,1.0,304,54.019999999999996,529.3
NJ,95,408,37,0,1,1.0,1.0,292,63.519999999999996,614.7
DE,87,510,0,4,0,1.0,1.0,289,70.42999999999999,673.6999999999999
VT,97,415,0,1,0,1.0,1.0,309,46.26,489.0
GA,76,415,0,0,1,1.0,1.0,355,83.37,750.6000000000001
TX,140,408,0,0,0,1.0,1.0,303,61.53,604.7
MT,169,415,0,0,0,1.0,1.0,278,47.97,533.9
ND,68,408,22,3,0,1.0,1.0,309,48.07,557.1999999999999
NJ,122,415,34,2,0,1.0,1.0,302,46.62,471.70000000000005
MO,36,408,0,2,0,1.0,1.0,324,66.03,719.5999999999999
CO,120,510,27,5,0,1.0,1.0,258,56.88,614.2
KS,121,408,0,1,0,1.0,1.0,369,52.48,526.2
NC,64,408,19,0,0,1.0,1.0,319,54.17,552.5
MT,13,415,31,1,0,1.0,1.0,307,72.80000000000001,685.1
DE,106,415,0,0,0,1.0,1.0,312,45.81,484.6
ND,88,415,0,2,0,1.0,1.0,299,53.620000000000005,549.1
VA,74,408,0,1,0,1.0,1.0,331,57.0,582.0999999999999
IL,83,415,0,0,0,1.0,1.0,280,62.14,597.1
OK,49,415,0,0,0,1.0,1.0,307,73.88,734.3000000000001
CO,111,510,24,1,0,1.0,1.0,312,67.08,654.7
MT,50,415,22,3,0,1.0,1.0,361,67.53999999999999,597.7
WV,153,408,28,0,0,1.0,1.0,223,71.24,649.1999999999999
ME,88,415,0,1,0,1.0,1.0,348,52.52,482.70000000000005
WI,131,415,39,0,0,1.0,1.0,356,27.54,284.3
MO,79,408,0,3,1,1.0,1.0,231,75.56,735.0
NY,140,415,0,2,0,1.0,1.0,326,69.64999999999999,607.3
CT,105,408,0,1,0,1.0,1.0,251,64.36,607.5
AR,54,415,39,3,0,1.0,1.0,336,57.47,543.1
WY,87,415,22,3,0,1.0,1.0,292,65.3,583.8000000000001
CA,96,510,31,1,0,1.0,1.0,330,58.739999999999995,569.5
CA,79,510,0,5,1,1.0,1.0,273,56.25,592.6
MN,55,415,0,0,0,1.0,1.0,324,59.14,636.1999999999999
AK,130,415,0,2,0,1.0,1.0,306,58.88999999999999,497.00000000000006
VA,34,415,0,0,0,1.0,1.0,296,47.910000000000004,478.9
CO,139,415,0,1,0,1.0,1.0,268,45.77,445.8
MT,109,408,0,1,1,1.0,1.0,284,82.38,776.6
SD,65,408,31,1,0,1.0,1.0,256,74.3,671.8
NE,63,415,0,0,0,1.0,1.0,233,71.07999999999998,720.3999999999999
VT,152,415,0,3,0,1.0,1.0,306,50.08,412.69999999999993
ND,147,408,0,1,0,1.0,1.0,311,62.01,620.4
GA,112,415,22,2,0,1.0,1.0,378,64.6,681.8
OR,120,415,0,2,0,1.0,1.0,323,65.03,563.6
MT,27,510,0,0,0,1.0,1.0,333,51.66,457.8
WY,171,415,0,1,0,1.0,1.0,334,67.96999999999998,639.0999999999999
GA,101,415,33,0,0,1.0,1.0,324,63.5,609.6
WV,32,408,26,1,0,1.0,1.0,318,79.07000000000001,728.0999999999999
CT,3,415,36,2,0,1.0,1.0,337,46.8,455.4
IL,151,408,0,0,0,1.0,1.0,286,52.47,491.6
CO,60,408,0,3,0,1.0,1.0,243,54.95,596.4000000000001
DE,119,415,0,1,0,1.0,1.0,263,60.4,613.6
LA,43,415,0,1,0,1.0,1.0,329,65.63,642.0
MA,42,408,0,0,0,1.0,1.0,343,60.61,520.5
IN,84,408,0,1,0,1.0,1.0,291,64.83,580.8
NY,65,510,0,0,0,1.0,1.0,328,59.05,564.0
TX,75,415,0,1,1,1.0,1.0,302,77.32,766.1
KS,116,510,0,1,0,1.0,1.0,293,61.14999999999999,598.2
WV,107,415,0,0,0,1.0,1.0,269,48.419999999999995,546.9
NE,189,415,38,3,0,1.0,1.0,308,65.05,541.6
ND,123,408,0,1,0,1.0,1.0,334,58.46,609.6
AK,110,408,0,3,0,1.0,1.0,248,49.05,548.9
CO,63,415,32,1,0,1.0,1.0,334,33.86,457.30000000000007
ME,176,415,0,3,0,1.0,1.0,289,65.84,602.1
SC,108,510,0,1,0,1.0,1.0,342,61.96999999999999,616.0
MN,13,510,21,3,0,1.0,1.0,302,86.38,796.7
CO,71,415,0,1,0,1.0,1.0,328,66.29999999999998,544.4000000000001
KS,88,415,0,2,0,1.0,1.0,326,63.61,636.5
MS,137,510,0,1,0,1.0,1.0,319,51.92999999999999,522.9000000000001
NE,82,408,0,4,0,1.0,1.0,281,65.27000000000001,660.1
NJ,92,510,29,3,0,1.0,1.0,336,56.06999999999999,606.8
WI,165,510,0,6,0,1.0,1.0,302,60.48,622.5
MT,96,415,0,1,0,1.0,1.0,330,38.6,434.9
AR,156,415,0,1,0,1.0,1.0,271,55.2,533.9000000000001
WA,63,408,0,0,0,1.0,1.0,255,60.4,638.6
NH,37,415,0,0,0,1.0,1.0,274,66.92,707.5
IA,98,415,0,0,0,1.0,1.0,288,64.49,606.1
WV,121,415,0,0,0,1.0,1.0,308,38.94,410.2
RI,94,415,0,0,0,1.0,1.0,319,45.06999999999999,434.4
KS,99,415,0,1,0,1.0,1.0,329,61.2,612.8000000000001
MT,163,510,23,1,0,1.0,1.0,293,56.46,589.6999999999999
MO,161,510,0,3,0,1.0,1.0,294,64.59,615.3
HI,99,415,0,1,0,1.0,1.0,271,40.23,471.29999999999995
CO,108,415,0,1,0,1.0,1.0,267,62.97,608.9
CT,84,510,42,3,0,1.0,1.0,294,60.89,657.2
ID,83,415,32,2,0,1.0,1.0,324,41.099999999999994,460.1
DC,139,510,0,2,0,1.0,1.0,259,59.019999999999996,563.2
TN,69,510,0,3,0,1.0,1.0,301,66.7,684.4
WY,129,510,0,4,0,1.0,1.0,306,62.38999999999999,665.5
MO,106,415,0,2,0,1.0,1.0,283,36.58,425.4
VA,158,415,0,2,0,1.0,1.0,337,66.48,643.3
SD,168,415,22,2,0,1.0,1.0,261,57.71,569.4
WV,115,510,0,1,1,1.0,1.0,326,74.05,659.3999999999999
GA,57,408,30,2,0,1.0,1.0,344,71.63999999999999,709.9
AZ,67,415,0,1,0,1.0,1.0,291,64.48,616.8
AK,127,408,0,1,0,1.0,1.0,353,56.22,545.5
AK,78,510,0,2,0,1.0,1.0,291,63.58,653.0
CT,100,415,38,0,0,1.0,1.0,270,56.94,590.9
UT,103,510,36,6,1,1.0,1.0,287,39.65,434.09999999999997
KY,113,415,0,1,0,1.0,1.0,341,61.480000000000004,527.9
MI,78,510,0,3,0,1.0,1.0,305,56.64,595.7
OR,129,510,36,1,0,1.0,1.0,309,62.0,602.6999999999999
TN,57,510,0,2,0,1.0,1.0,314,56.04,593.1
WV,82,408,0,1,0,1.0,1.0,315,54.0,609.8999999999999
NJ,64,415,0,1,0,1.0,1.0,324,66.81,645.4000000000001
MS,86,510,39,2,0,1.0,1.0,329,73.01,643.0
ME,151,415,26,0,0,1.0,1.0,338,61.949999999999996,607.5
WY,94,510,0,3,1,1.0,1.0,264,76.4,706.9
WY,90,415,0,2,0,1.0,1.0,329,72.41999999999999,734.0
IN,48,510,0,2,0,1.0,1.0,296,73.21,638.2
NM,85,408,37,2,0,1.0,1.0,297,62.39,583.3
NJ,93,415,20,1,0,1.0,1.0,335,57.470000000000006,544.7
DC,169,415,0,3,0,1.0,1.0,285,40.8,538.0
UT,68,415,0,5,1,1.0,1.0,268,52.24999999999999,517.8
KY,91,415,0,2,1,1.0,1.0,345,54.169999999999995,561.2
KS,68,510,0,1,0,1.0,1.0,295,60.13,622.0
MI,101,510,0,1,0,1.0,1.0,294,61.70000000000001,611.8999999999999
UT,67,510,20,1,0,1.0,1.0,215,65.11,591.3
NE,66,415,0,0,0,1.0,1.0,317,38.4,453.70000000000005
FL,116,415,17,5,0,1.0,1.0,344,67.57,693.5
LA,158,408,0,1,0,1.0,1.0,302,59.84,571.3
MT,78,415,0,1,0,1.0,1.0,301,64.72999999999999,645.7
WA,119,415,26,1,0,1.0,1.0,307,56.89,560.6
MI,120,415,0,1,0,1.0,1.0,338,47.93,508.9
KY,155,510,0,1,0,1.0,1.0,342,60.339999999999996,614.9
LA,106,408,0,1,0,1.0,1.0,333,68.31,621.2
NM,87,510,0,1,0,1.0,1.0,332,54.27,509.9
AL,146,415,32,3,0,1.0,1.0,282,50.830000000000005,495.9
MO,101,415,29,0,0,1.0,1.0,297,50.04,559.3000000000001
CO,22,510,23,3,0,1.0,1.0,259,54.18,488.2
TX,90,415,0,2,0,1.0,1.0,322,40.489999999999995,417.9
NY,41,415,0,1,0,1.0,1.0,318,60.05,595.1
OR,69,415,0,2,0,1.0,1.0,275,56.69,522.2
WY,33,415,0,2,0,1.0,1.0,292,66.08,612.2
UT,112,415,0,1,0,1.0,1.0,302,52.220000000000006,556.8000000000001
LA,108,510,30,2,0,1.0,1.0,313,76.39000000000001,684.4
NV,136,415,21,2,0,1.0,1.0,309,62.89,690.7
NC,128,510,0,1,0,1.0,1.0,252,66.88000000000001,674.6
NC,27,408,0,2,0,1.0,1.0,322,62.34000000000001,582.6
WY,161,415,0,1,0,1.0,1.0,338,63.60999999999999,642.8
TN,33,415,35,0,0,1.0,1.0,301,72.3,780.6
FL,120,415,31,0,0,1.0,1.0,259,58.48,621.4
CA,113,415,0,2,0,1.0,1.0,322,59.09,563.4
PA,122,415,0,0,1,1.0,1.0,290,71.1,667.5
WV,148,415,26,2,0,1.0,1.0,383,66.38,614.1
NJ,74,415,0,3,0,1.0,1.0,274,67.93,621.4000000000001
MT,106,415,0,1,0,1.0,1.0,305,62.56999999999999,593.1999999999999
MN,179,415,0,1,0,1.0,1.0,273,58.510000000000005,589.6999999999999
WI,149,415,28,5,1,1.0,1.0,279,44.67,447.8
ID,77,510,0,0,0,1.0,1.0,305,61.93,619.8000000000001
MA,127,408,0,1,1,1.0,1.0,350,54.620000000000005,534.7
OR,80,415,0,1,0,1.0,1.0,300,57.43,598.9
MT,106,510,0,1,0,1.0,1.0,261,57.550000000000004,579.5
AL,61,415,20,0,0,1.0,1.0,324,71.14,678.0
ND,135,510,24,2,0,1.0,1.0,247,52.1,582.8
LA,115,415,26,6,0,1.0,1.0,260,61.28,627.0
ND,167,408,0,2,0,1.0,1.0,295,68.23,641.0
MS,107,510,0,2,0,1.0,1.0,248,72.00999999999999,622.1
WV,112,415,0,1,0,1.0,1.0,390,53.519999999999996,507.5
WI,35,510,27,1,0,1.0,1.0,260,68.7,681.9999999999999
KS,103,408,0,3,0,1.0,1.0,272,40.309999999999995,522.8
MO,107,415,22,1,0,1.0,1.0,350,73.78999999999999,675.4000000000001
PA,69,415,0,3,0,1.0,1.0,215,70.51,645.2
SD,85,408,0,0,0,1.0,1.0,264,64.27,616.0
NJ,24,408,0,2,1,1.0,1.0,299,74.11,668.0000000000001
AL,90,415,0,2,0,1.0,1.0,294,55.75,478.2
ME,137,510,0,3,0,1.0,1.0,257,48.230000000000004,513.7
AZ,92,415,45,0,0,1.0,1.0,270,70.89,580.9
VT,38,415,0,2,0,1.0,1.0,242,59.099999999999994,605.2
NV,69,510,33,1,1,1.0,1.0,287,77.34999999999998,698.5
WI,45,408,0,2,0,1.0,1.0,337,51.02,580.8
HI,73,408,0,1,0,1.0,1.0,318,63.83,609.6
DE,92,415,0,1,0,1.0,1.0,298,66.45,636.0
AZ,113,415,32,1,0,1.0,1.0,339,51.45,485.1
VA,68,408,0,1,1,1.0,1.0,379,56.75,580.9
GA,135,415,22,2,0,1.0,1.0,348,65.56,605.8000000000001
AZ,100,415,26,1,0,1.0,1.0,370,51.74,520.9
MN,96,415,27,1,0,1.0,1.0,296,74.32000000000001,672.9
ME,108,510,0,1,0,1.0,1.0,336,69.69,638.1
FL,84,510,0,0,0,1.0,1.0,290,72.46000000000001,763.6
WA,134,408,0,1,0,1.0,1.0,264,73.47,765.5
MT,72,415,0,0,0,1.0,1.0,244,73.79,692.9
AL,83,408,0,0,0,1.0,1.0,284,57.94,512.3
WV,137,408,0,0,0,1.0,1.0,344,51.83,477.40000000000003
GA,56,415,30,1,0,1.0,1.0,319,48.27,505.9
OH,61,510,16,0,0,1.0,1.0,232,54.71999999999999,545.0999999999999
DE,171,510,17,1,0,1.0,1.0,299,62.78,633.5999999999999
NE,123,510,0,1,0,1.0,1.0,344,63.4,594.4
FL,58,510,0,0,0,1.0,1.0,348,59.7,530.0
AK,156,510,0,1,0,1.0,1.0,262,41.85,429.20000000000005
WI,166,510,0,0,0,1.0,1.0,304,65.77,656.3999999999999
WA,75,510,41,1,0,1.0,1.0,297,50.62,518.4
KY,75,415,0,2,1,1.0,1.0,291,82.28,775.2
OH,83,510,0,1,0,1.0,1.0,298,69.17999999999999,659.1999999999999
UT,243,510,0,2,0,1.0,1.0,279,43.82,530.0
NM,153,408,0,1,0,1.0,1.0,327,62.53,614.5
MN,150,415,0,1,0,1.0,1.0,334,56.2,596.8000000000001
WV,92,510,16,2,0,1.0,1.0,332,49.53,458.2
